28 34 0:25 / /sys rw,nosuid,nodev,noexec,relatime shared:6 - sysfs sysfs rw
29 34 0:26 / /proc rw,nosuid,nodev,noexec,relatime shared:12 - proc proc rw
30 34 0:7 / /dev rw,nosuid,relatime shared:2 - devtmpfs udev rw,size=14804856k,nr_inodes=3701214,mode=755,inode64
31 30 0:27 / /dev/pts rw,nosuid,noexec,relatime shared:3 - devpts devpts rw,gid=5,mode=600,ptmxmode=000
32 34 0:28 / /run rw,nosuid,nodev,noexec,relatime shared:5 - tmpfs tmpfs rw,size=3270524k,mode=755,inode64
33 28 0:29 / /sys/firmware/efi/efivars rw,nosuid,nodev,noexec,relatime shared:7 - efivarfs efivarfs rw
34 2 259:2 / / rw,relatime shared:1 - ext4 /dev/nvme0n1p2 rw
35 28 0:8 / /sys/kernel/security rw,nosuid,nodev,noexec,relatime shared:8 - securityfs securityfs rw
36 30 0:30 / /dev/shm rw,nosuid,nodev shared:4 - tmpfs tmpfs rw,inode64,usrquota
37 28 0:31 / /sys/fs/cgroup rw,nosuid,nodev,noexec,relatime shared:9 - cgroup2 cgroup2 rw,nsdelegate,memory_recursiveprot,memory_hugetlb_accounting
38 28 0:32 / /sys/fs/pstore rw,nosuid,nodev,noexec,relatime shared:10 - pstore none rw
39 28 0:33 / /sys/fs/bpf rw,nosuid,nodev,noexec,relatime shared:11 - bpf bpf rw,mode=700
40 29 0:34 / /proc/sys/fs/binfmt_misc rw,relatime shared:13 - autofs systemd-1 rw,fd=36,pgrp=1,timeout=0,minproto=5,maxproto=5,direct,pipe_ino=3954
41 28 0:14 / /sys/kernel/tracing rw,nosuid,nodev,noexec,relatime shared:14 - tracefs tracefs rw
42 28 0:9 / /sys/kernel/debug rw,nosuid,nodev,noexec,relatime shared:15 - debugfs debugfs rw
43 30 0:23 / /dev/mqueue rw,nosuid,nodev,noexec,relatime shared:16 - mqueue mqueue rw
44 30 0:35 / /dev/hugepages rw,nosuid,nodev,relatime shared:17 - hugetlbfs hugetlbfs rw,pagesize=2M
46 28 0:21 / /sys/kernel/config rw,nosuid,nodev,noexec,relatime shared:19 - configfs configfs rw
47 28 0:37 / /sys/fs/fuse/connections rw,nosuid,nodev,noexec,relatime shared:20 - fusectl fusectl rw
73 34 7:0 / /snap/core18/2979 ro,nodev,relatime shared:129 - squashfs /dev/loop0 ro,errors=continue,threads=single
122 34 7:1 / /snap/core18/2999 ro,nodev,relatime shared:133 - squashfs /dev/loop1 ro,errors=continue,threads=single
126 34 7:2 / /snap/bare/5 ro,nodev,relatime shared:137 - squashfs /dev/loop2 ro,errors=continue,threads=single
134 34 7:5 / /snap/core24/1587 ro,nodev,relatime shared:145 - squashfs /dev/loop5 ro,errors=continue,threads=single
144 34 7:4 / /snap/core22/2411 ro,nodev,relatime shared:153 - squashfs /dev/loop4 ro,errors=continue,threads=single
148 34 7:6 / /snap/core24/1643 ro,nodev,relatime shared:157 - squashfs /dev/loop6 ro,errors=continue,threads=single
