sysfs /sys sysfs rw,nosuid,nodev,noexec,relatime 0 0
proc /proc proc rw,nosuid,nodev,noexec,relatime 0 0
udev /dev devtmpfs rw,nosuid,relatime,size=14804856k,nr_inodes=3701214,mode=755,inode64 0 0
devpts /dev/pts devpts rw,nosuid,noexec,relatime,gid=5,mode=600,ptmxmode=000 0 0
tmpfs /run tmpfs rw,nosuid,nodev,noexec,relatime,size=3270524k,mode=755,inode64 0 0
efivarfs /sys/firmware/efi/efivars efivarfs rw,nosuid,nodev,noexec,relatime 0 0
/dev/nvme0n1p2 / ext4 rw,relatime 0 0
securityfs /sys/kernel/security securityfs rw,nosuid,nodev,noexec,relatime 0 0
tmpfs /dev/shm tmpfs rw,nosuid,nodev,inode64,usrquota 0 0
cgroup2 /sys/fs/cgroup cgroup2 rw,nosuid,nodev,noexec,relatime,nsdelegate,memory_recursiveprot,memory_hugetlb_accounting 0 0
none /sys/fs/pstore pstore rw,nosuid,nodev,noexec,relatime 0 0
bpf /sys/fs/bpf bpf rw,nosuid,nodev,noexec,relatime,mode=700 0 0
systemd-1 /proc/sys/fs/binfmt_misc autofs rw,relatime,fd=36,pgrp=1,timeout=0,minproto=5,maxproto=5,direct,pipe_ino=3954 0 0
tracefs /sys/kernel/tracing tracefs rw,nosuid,nodev,noexec,relatime 0 0
debugfs /sys/kernel/debug debugfs rw,nosuid,nodev,noexec,relatime 0 0
mqueue /dev/mqueue mqueue rw,nosuid,nodev,noexec,relatime 0 0
hugetlbfs /dev/hugepages hugetlbfs rw,nosuid,nodev,relatime,pagesize=2M 0 0
configfs /sys/kernel/config configfs rw,nosuid,nodev,noexec,relatime 0 0
fusectl /sys/fs/fuse/connections fusectl rw,nosuid,nodev,noexec,relatime 0 0
/dev/loop0 /snap/core18/2979 squashfs ro,nodev,relatime,errors=continue,threads=single 0 0
/dev/loop1 /snap/core18/2999 squashfs ro,nodev,relatime,errors=continue,threads=single 0 0
/dev/loop2 /snap/bare/5 squashfs ro,nodev,relatime,errors=continue,threads=single 0 0
/dev/loop5 /snap/core24/1587 squashfs ro,nodev,relatime,errors=continue,threads=single 0 0
/dev/loop4 /snap/core22/2411 squashfs ro,nodev,relatime,errors=continue,threads=single 0 0
/dev/loop6 /snap/core24/1643 squashfs ro,nodev,relatime,errors=continue,threads=single 0 0
/dev/loop9 /snap/firmware-updater/224 squashfs ro,nodev,relatime,errors=continue,threads=single 0 0
/dev/loop10 /snap/firmware-updater/226 squashfs ro,nodev,relatime,errors=continue,threads=single 0 0
/dev/loop11 /snap/gnome-3-28-1804/198 squashfs ro,nodev,relatime,errors=continue,threads=single 0 0
/dev/loop12 /snap/gnome-42-2204/263 squashfs ro,nodev,relatime,errors=continue,threads=single 0 0
/dev/loop14 /snap/gnome-46-2404/153 squashfs ro,nodev,relatime,errors=continue,threads=single 0 0
/dev/loop13 /snap/gnome-42-2204/247 squashfs ro,nodev,relatime,errors=continue,threads=single 0 0
/dev/loop15 /snap/gnome-46-2404/164 squashfs ro,nodev,relatime,errors=continue,threads=single 0 0
/dev/loop16 /snap/gtk-common-themes/1535 squashfs ro,nodev,relatime,errors=continue,threads=single 0 0
/dev/loop17 /snap/kf5-5-113-qt-5-15-11-core22/1 squashfs ro,nodev,relatime,errors=continue,threads=single 0 0
/dev/loop18 /snap/keepassxc/1854 squashfs ro,nodev,relatime,errors=continue,threads=single 0 0
/dev/loop20 /snap/mesa-2404/1165 squashfs ro,nodev,relatime,errors=continue,threads=single 0 0
/dev/loop21 /snap/skype/394 squashfs ro,nodev,relatime,errors=continue,threads=single 0 0
/dev/loop23 /snap/skype/392 squashfs ro,nodev,relatime,errors=continue,threads=single 0 0
/dev/loop22 /snap/mesa-2404/1839 squashfs ro,nodev,relatime,errors=continue,threads=single 0 0
/dev/loop26 /snap/snapd/27591 squashfs ro,nodev,relatime,errors=continue,threads=single 0 0
/dev/loop27 /snap/teams-for-linux/2192 squashfs ro,nodev,relatime,errors=continue,threads=single 0 0
tmpfs /tmp tmpfs rw,noatime,inode64 0 0
/dev/loop28 /snap/thunderbird/1170 squashfs ro,nodev,relatime,errors=continue,threads=single 0 0
/dev/loop29 /snap/thunderbird/1201 squashfs ro,nodev,relatime,errors=continue,threads=single 0 0
/dev/loop30 /snap/yq/2759 squashfs ro,nodev,relatime,errors=continue,threads=single 0 0
/dev/loop31 /snap/yq/2748 squashfs ro,nodev,relatime,errors=continue,threads=single 0 0
/dev/sda1 /data ext4 rw,relatime 0 0
/dev/nvme0n1p1 /boot/efi vfat rw,relatime,fmask=0022,dmask=0022,codepage=437,iocharset=iso8859-1,shortname=mixed,errors=remount-ro 0 0
binfmt_misc /proc/sys/fs/binfmt_misc binfmt_misc rw,nosuid,nodev,noexec,relatime 0 0
tmpfs /run/user/1000 tmpfs rw,nosuid,nodev,relatime,size=3270520k,nr_inodes=817630,mode=700,uid=1000,gid=1000,inode64 0 0
portal /run/user/1000/doc fuse.portal rw,nosuid,nodev,relatime,user_id=1000,group_id=1000 0 0
tmpfs /run/snapd/ns tmpfs rw,nosuid,nodev,noexec,relatime,size=3270524k,mode=755,inode64 0 0
/dev/loop32 /snap/teams-for-linux/2244 squashfs ro,nodev,relatime,errors=continue,threads=single 0 0
none /run/credentials/systemd-journald.service tmpfs ro,nosuid,nodev,noexec,relatime,nosymfollow,size=1024k,nr_inodes=1024,mode=700,inode64,noswap 0 0
none /run/credentials/systemd-resolved.service tmpfs ro,nosuid,nodev,noexec,relatime,nosymfollow,size=1024k,nr_inodes=1024,mode=700,inode64,noswap 0 0
/dev/loop25 /snap/obsidian/66 squashfs ro,nodev,relatime,errors=continue,threads=single 0 0
/dev/loop33 /snap/firefox/8749 squashfs ro,nodev,relatime,errors=continue,threads=single 0 0
/dev/loop7 /snap/firefox/8752 squashfs ro,nodev,relatime,errors=continue,threads=single 0 0
nsfs /run/snapd/ns/firefox.mnt nsfs rw 0 0
/dev/loop8 /snap/snapd/27710 squashfs ro,nodev,relatime,errors=continue,threads=single 0 0
/dev/loop24 /snap/obsidian/67 squashfs ro,nodev,relatime,errors=continue,threads=single 0 0
nsfs /run/snapd/ns/thunderbird.mnt nsfs rw 0 0
/dev/loop19 /snap/core22/2437 squashfs ro,nodev,relatime,errors=continue,threads=single 0 0
